date,game_id,player_name,pts,reb,ast,pra,mp
2025-11-05,202511050BOS,Alex Sarr,31.0,8.0,2.0,41.0,29:00
2025-11-05,202511050BOS,Kyshawn George,9.0,2.0,3.0,14.0,28:29
2025-11-05,202511050BOS,Justin Champagnie,12.0,6.0,0.0,18.0,19:03
2025-11-05,202511050BOS,CJ McCollum,3.0,1.0,4.0,8.0,17:33
2025-11-05,202511050BOS,Bilal Coulibaly,1.0,2.0,3.0,6.0,16:28
2025-11-05,202511050BOS,Bub Carrington,3.0,5.0,6.0,14.0,30:38
2025-11-05,202511050BOS,Tre Johnson,7.0,1.0,1.0,9.0,24:10
2025-11-05,202511050BOS,Malaki Branham,10.0,3.0,0.0,13.0,16:42
2025-11-05,202511050BOS,Marvin Bagley III,11.0,5.0,2.0,18.0,12:43
2025-11-05,202511050BOS,Corey Kispert,8.0,2.0,1.0,11.0,12:43
2025-11-05,202511050BOS,Will Riley,4.0,2.0,1.0,7.0,12:00
2025-11-05,202511050BOS,Cam Whitmore,2.0,0.0,0.0,2.0,7:57
2025-11-05,202511050BOS,Tristan Vukcevic,5.0,1.0,1.0,7.0,6:17
2025-11-05,202511050BOS,AJ Johnson,1.0,2.0,1.0,4.0,6:17
2025-11-05,202511050BOS,Anthony Gill,0.0,0.0,0.0,0.0,0:00
2025-11-05,202511050BOS,Josh Minott,21.0,5.0,0.0,26.0,33:43
2025-11-05,202511050BOS,Derrick White,12.0,3.0,8.0,23.0,28:47
2025-11-05,202511050BOS,Jaylen Brown,35.0,5.0,5.0,45.0,25:53
2025-11-05,202511050BOS,Neemias Queta,15.0,12.0,5.0,32.0,24:13
2025-11-05,202511050BOS,Payton Pritchard,18.0,2.0,5.0,25.0,23:55
2025-11-05,202511050BOS,Anfernee Simons,18.0,0.0,2.0,20.0,29:50
2025-11-05,202511050BOS,Jordan Walsh,7.0,7.0,1.0,15.0,23:51
2025-11-05,202511050BOS,Sam Hauser,3.0,2.0,3.0,8.0,22:20
2025-11-05,202511050BOS,Hugo González,5.0,2.0,1.0,8.0,16:39
2025-11-05,202511050BOS,Luka Garza,2.0,2.0,1.0,5.0,7:06
2025-11-05,202511050BOS,Baylor Scheierman,0.0,0.0,0.0,0.0,3:43
2025-11-05,202511050BOS,Chris Boucher,0.0,0.0,0.0,0.0,0:00
2025-11-05,202511050BOS,Xavier Tillman Sr.,0.0,0.0,0.0,0.0,0:00
2025-11-05,202511050CLE,Kelly Oubre Jr.,19.0,3.0,2.0,24.0,37:58
2025-11-05,202511050CLE,VJ Edgecombe,7.0,4.0,4.0,15.0,37:13
2025-11-05,202511050CLE,Tyrese Maxey,27.0,7.0,9.0,43.0,36:27
2025-11-05,202511050CLE,Adem Bona,4.0,4.0,0.0,8.0,18:18
2025-11-05,202511050CLE,Jabari Walker,0.0,3.0,0.0,3.0,8:19
2025-11-05,202511050CLE,Quentin Grimes,27.0,3.0,3.0,33.0,31:58
2025-11-05,202511050CLE,Andre Drummond,13.0,13.0,1.0,27.0,28:09
2025-11-05,202511050CLE,Trendon Watford,16.0,3.0,6.0,25.0,23:03
2025-11-05,202511050CLE,Justin Edwards,8.0,3.0,1.0,12.0,16:23
2025-11-05,202511050CLE,Johni Broome,0.0,0.0,0.0,0.0,1:06
2025-11-05,202511050CLE,Hunter Sallis,0.0,0.0,0.0,0.0,1:06
2025-11-05,202511050CLE,Eric Gordon,0.0,0.0,0.0,0.0,0:00
2025-11-05,202511050CLE,Kyle Lowry,0.0,0.0,0.0,0.0,0:00
2025-11-05,202511050CLE,Donovan Mitchell,46.0,4.0,8.0,58.0,35:04
2025-11-05,202511050CLE,Evan Mobley,23.0,5.0,3.0,31.0,34:02
2025-11-05,202511050CLE,Jarrett Allen,24.0,10.0,1.0,35.0,29:31
2025-11-05,202511050CLE,Jaylon Tyson,10.0,5.0,3.0,18.0,28:42
2025-11-05,202511050CLE,Darius Garland,8.0,2.0,4.0,14.0,26:05
2025-11-05,202511050CLE,Sam Merrill,14.0,0.0,0.0,14.0,26:48
2025-11-05,202511050CLE,Lonzo Ball,0.0,1.0,8.0,9.0,22:44
2025-11-05,202511050CLE,Craig Porter Jr.,0.0,2.0,4.0,6.0,18:04
2025-11-05,202511050CLE,Larry Nance Jr.,7.0,5.0,1.0,13.0,15:05
2025-11-05,202511050CLE,Thomas Bryant,0.0,0.0,0.0,0.0,1:06
2025-11-05,202511050CLE,Tyrese Proctor,0.0,0.0,0.0,0.0,1:06
2025-11-05,202511050CLE,Nae'Qwan Tomlin,0.0,0.0,0.0,0.0,1:06
2025-11-05,202511050CLE,Dean Wade,0.0,0.0,1.0,1.0,0:38
2025-11-05,202511050DAL,Trey Murphy III,11.0,9.0,5.0,25.0,38:09
2025-11-05,202511050DAL,Herbert Jones,12.0,5.0,2.0,19.0,35:00
2025-11-05,202511050DAL,Saddiq Bey,22.0,9.0,1.0,32.0,29:34
2025-11-05,202511050DAL,Jeremiah Fears,13.0,5.0,3.0,21.0,25:25
2025-11-05,202511050DAL,Kevon Looney,8.0,6.0,2.0,16.0,14:59
2025-11-05,202511050DAL,Derik Queen,11.0,7.0,2.0,20.0,25:52
2025-11-05,202511050DAL,Jose Alvarado,13.0,8.0,2.0,23.0,22:35
2025-11-05,202511050DAL,Jordan Hawkins,9.0,2.0,1.0,12.0,19:52
2025-11-05,202511050DAL,Micah Peavy,0.0,3.0,0.0,3.0,18:19
2025-11-05,202511050DAL,Karlo Matković,2.0,2.0,0.0,4.0,10:16
2025-11-05,202511050DAL,DeAndre Jordan,0.0,0.0,0.0,0.0,0:00
2025-11-05,202511050DAL,Bryce McGowens,0.0,0.0,0.0,0.0,0:00
2025-11-05,202511050DAL,P.J. Washington,15.0,11.0,1.0,27.0,38:04
