date,player_name,season_avg,recommended_minimum,actual_pra,hit,confidence,meets_90_threshold
2025-11-05,Alex Sarr,30.1,25.5,41.0,True,0.91,True
2025-11-05,Kyshawn George,27.6,23.5,14.0,False,0.89,False
2025-11-05,Justin Champagnie,5.8,5.0,18.0,True,0.89,False
2025-11-05,CJ McCollum,22.8,19.5,8.0,False,0.89,False
2025-11-05,Bilal Coulibaly,17.4,15.0,6.0,False,0.89,False
2025-11-05,Bub Carrington,14.8,12.5,14.0,True,0.91,True
2025-11-05,Tre Johnson,16.099999999999998,13.5,9.0,False,0.91,True
2025-11-05,Malaki Branham,6.0,5.0,13.0,True,0.91,True
2025-11-05,Marvin Bagley III,12.6,10.5,18.0,True,0.91,True
2025-11-05,Corey Kispert,11.9,10.0,11.0,True,0.91,True
2025-11-05,Cam Whitmore,11.799999999999999,10.0,2.0,False,0.91,True
2025-11-05,Josh Minott,14.200000000000001,12.0,26.0,True,0.91,True
2025-11-05,Derrick White,25.2,21.5,23.0,True,0.89,False
2025-11-05,Jaylen Brown,37.1,31.5,45.0,True,0.91,True
2025-11-05,Neemias Queta,18.9,16.0,32.0,True,0.91,True
2025-11-05,Payton Pritchard,26.0,22.0,25.0,True,0.91,True
2025-11-05,Anfernee Simons,18.0,15.5,20.0,True,0.89,False
2025-11-05,Jordan Walsh,9.5,8.0,15.0,True,0.91,True
2025-11-05,Sam Hauser,11.5,10.0,8.0,False,0.89,False
2025-11-05,Hugo González,5.6,5.0,8.0,True,0.89,False
2025-11-05,Luka Garza,12.100000000000001,10.5,5.0,False,0.89,False
2025-11-05,Baylor Scheierman,5.5,4.5,0.0,False,0.91,True
2025-11-05,Chris Boucher,5.1,4.5,0.0,False,0.89,False
2025-11-05,Xavier Tillman Sr.,5.199999999999999,4.5,0.0,False,0.89,False
2025-11-05,Kelly Oubre Jr.,23.2,19.5,24.0,True,0.91,True
2025-11-05,VJ Edgecombe,25.5,21.5,15.0,False,0.91,True
2025-11-05,Tyrese Maxey,45.1,38.5,43.0,True,0.89,False
2025-11-05,Adem Bona,5.8999999999999995,5.0,8.0,True,0.91,True
2025-11-05,Jabari Walker,6.1,5.0,3.0,False,0.91,True
2025-11-05,Quentin Grimes,24.900000000000002,21.0,33.0,True,0.91,True
2025-11-05,Andre Drummond,18.900000000000002,16.0,27.0,True,0.91,True
2025-11-05,Trendon Watford,17.3,14.5,25.0,True,0.91,True
2025-11-05,Justin Edwards,9.1,7.5,12.0,True,0.91,True
2025-11-05,Donovan Mitchell,41.0,35.0,58.0,True,0.89,False
2025-11-05,Evan Mobley,32.0,27.0,31.0,True,0.91,True
2025-11-05,Jarrett Allen,24.7,21.0,35.0,True,0.89,False
2025-11-05,Jaylon Tyson,16.9,14.5,18.0,True,0.89,False
2025-11-05,Darius Garland,21.0,18.0,14.0,False,0.89,False
2025-11-05,Sam Merrill,18.3,15.5,14.0,False,0.91,True
2025-11-05,Lonzo Ball,15.7,13.5,9.0,False,0.89,False
2025-11-05,Craig Porter Jr.,11.2,9.5,6.0,False,0.91,True
2025-11-05,Larry Nance Jr.,8.200000000000001,7.0,13.0,True,0.89,False
2025-11-05,Tyrese Proctor,7.2,6.0,0.0,False,0.91,True
2025-11-05,Nae'Qwan Tomlin,10.2,8.5,0.0,False,0.91,True
2025-11-05,Dean Wade,10.6,9.0,1.0,False,0.91,True
2025-11-05,Trey Murphy III,29.6,25.0,25.0,True,0.91,True
2025-11-05,Herbert Jones,15.5,13.0,19.0,True,0.91,True
2025-11-05,Saddiq Bey,19.2,16.5,32.0,True,0.89,False
2025-11-05,Jeremiah Fears,21.0,18.0,21.0,True,0.89,False
2025-11-05,Kevon Looney,8.4,7.0,16.0,True,0.91,True
2025-11-05,Derik Queen,19.200000000000003,16.5,20.0,True,0.89,False
2025-11-05,Jose Alvarado,12.5,10.5,23.0,True,0.91,True
2025-11-05,Jordan Hawkins,7.5,6.5,12.0,True,0.89,False
2025-11-05,Micah Peavy,6.3,5.5,3.0,False,0.89,False
2025-11-05,Karlo Matković,8.5,7.0,4.0,False,0.91,True
2025-11-05,DeAndre Jordan,9.5,8.0,0.0,False,0.91,True
2025-11-05,P.J. Washington,24.8,21.0,27.0,True,0.91,True
2025-11-05,Cooper Flagg,24.900000000000002,21.0,31.0,True,0.91,True
2025-11-05,Max Christie,18.0,15.5,16.0,True,0.89,False
2025-11-05,Daniel Gafford,17.700000000000003,15.0,23.0,True,0.91,True
2025-11-05,D'Angelo Russell,19.6,16.5,12.0,False,0.91,True
2025-11-05,Naji Marshall,18.3,15.5,17.0,True,0.91,True
2025-11-05,Klay Thompson,13.8,11.5,18.0,True,0.91,True
2025-11-05,Brandon Williams,16.7,14.0,14.0,True,0.91,True
2025-11-05,Jaden Hardy,7.5,6.5,1.0,False,0.89,False
2025-11-05,Dwight Powell,5.2,4.5,1.0,False,0.89,False
2025-11-05,Moussa Cisse,8.799999999999999,7.5,0.0,False,0.89,False
2025-11-05,Andrew Wiggins,24.5,21.0,31.0,True,0.89,False
2025-11-05,Davion Mitchell,20.9,18.0,22.0,True,0.89,False
2025-11-05,Norman Powell,31.8,27.0,25.0,False,0.91,True
2025-11-05,Pelle Larsson,15.600000000000001,13.5,12.0,False,0.89,False
2025-11-05,Bam Adebayo,30.9,26.5,3.0,False,0.89,False
2025-11-05,Kel'el Ware,21.499999999999996,18.5,26.0,True,0.89,False
2025-11-05,Jaime Jaquez Jr.,29.1,24.5,26.0,True,0.91,True
2025-11-05,Nikola Jović,16.3,14.0,11.0,False,0.89,False
2025-11-05,Dru Smith,11.600000000000001,10.0,9.0,False,0.89,False
2025-11-05,Simone Fontecchio,15.2,13.0,9.0,False,0.89,False
