player_name,wins,losses,win_pct,games,avg_pra,recommended_min,tier
Tyus Jones,17,0,100.0,17,4.4,-0.6,🏆 RELIABLE
Caleb Martin,15,0,100.0,15,4.1,-0.9,🏆 RELIABLE
Ousmane Dieng,14,0,100.0,14,5.5,0.5,🏆 RELIABLE
Guerschon Yabusele,14,0,100.0,14,5.5,0.5,🏆 RELIABLE
Steven Adams,13,0,100.0,13,17.0,12.0,🏆 RELIABLE
Brooks Barnhizer,13,0,100.0,13,3.8,-1.2,🏆 RELIABLE
Bones Hyland,12,0,100.0,12,6.5,1.5,🏆 RELIABLE
Micah Peavy,12,0,100.0,12,6.8,1.8,🏆 RELIABLE
Clint Capela,12,0,100.0,12,7.9,2.9,🏆 RELIABLE
Adem Bona,12,0,100.0,12,5.9,0.9,🏆 RELIABLE
Amir Coffey,12,0,100.0,12,3.3,-1.7,🏆 RELIABLE
Chris Youngblood,12,0,100.0,12,2.6,-2.4,🏆 RELIABLE
Sidy Cissoko,11,0,100.0,11,7.9,2.9,🏆 RELIABLE
Tristan Vukcevic,11,0,100.0,11,6.5,1.5,🏆 RELIABLE
Baylor Scheierman,11,0,100.0,11,5.5,0.5,🏆 RELIABLE
Hugo González,11,0,100.0,11,5.1,0.1,🏆 RELIABLE
Carter Bryant,11,0,100.0,11,3.9,-1.1,🏆 RELIABLE
Will Riley,11,0,100.0,11,4.5,-0.5,🏆 RELIABLE
Julian Phillips,11,0,100.0,11,3.4,-1.6,🏆 RELIABLE
Chaz Lanier,10,0,100.0,10,5.6,0.6,🏆 RELIABLE
Moussa Cisse,10,0,100.0,10,7.5,2.5,🏆 RELIABLE
Ochai Agbaji,10,0,100.0,10,5.8,0.8,🏆 RELIABLE
Isaiah Livers,10,0,100.0,10,5.0,0.0,🏆 RELIABLE
Tyler Kolek,10,0,100.0,10,4.6,-0.4,🏆 RELIABLE
Gui Santos,10,0,100.0,10,4.1,-0.9,🏆 RELIABLE
Jericho Sims,10,0,100.0,10,4.6,-0.4,🏆 RELIABLE
Jamison Battle,9,0,100.0,9,5.1,0.1,🏆 RELIABLE
Kobe Brown,9,0,100.0,9,5.4,0.4,🏆 RELIABLE
Kevon Looney,9,0,100.0,9,7.8,2.8,🏆 RELIABLE
Jase Richardson,9,0,100.0,9,4.0,-1.0,🏆 RELIABLE
Cody Williams,9,0,100.0,9,3.7,-1.3,🏆 RELIABLE
Dwight Powell,9,0,100.0,9,4.7,-0.3,🏆 RELIABLE
Rayan Rupert,9,0,100.0,9,3.8,-1.2,🏆 RELIABLE
Taelon Peter,9,0,100.0,9,4.5,-0.5,🏆 RELIABLE
Nigel Hayes-Davis,9,0,100.0,9,3.3,-1.7,🏆 RELIABLE
Julian Strawther,8,0,100.0,8,5.7,0.7,🏆 RELIABLE
Duop Reath,8,0,100.0,8,4.6,-0.4,🏆 RELIABLE
Yang Hansen,8,0,100.0,8,6.3,1.3,🏆 RELIABLE
Gary Harris,8,0,100.0,8,4.0,-1.0,🏆 RELIABLE
Dalen Terry,8,0,100.0,8,5.1,0.1,🏆 RELIABLE
Bronny James,8,0,100.0,8,4.8,-0.2,🏆 RELIABLE
Thomas Bryant,8,0,100.0,8,3.5,-1.5,🏆 RELIABLE
Spencer Jones,8,0,100.0,8,2.9,-2.1,🏆 RELIABLE
Mason Plumlee,8,0,100.0,8,5.0,0.0,🏆 RELIABLE
Ben Saraf,7,0,100.0,7,7.6,2.6,🏆 RELIABLE
Chris Boucher,7,0,100.0,7,5.0,0.0,🏆 RELIABLE
Rasheer Fleming,7,0,100.0,7,3.8,-1.2,🏆 RELIABLE
Leonard Miller,7,0,100.0,7,3.8,-1.2,🏆 RELIABLE
Ariel Hukporti,7,0,100.0,7,3.7,-1.3,🏆 RELIABLE
Bradley Beal,6,0,100.0,6,10.7,5.7,🏆 RELIABLE
Blake Wesley,6,0,100.0,6,11.5,6.5,🏆 RELIABLE
Asa Newell,6,0,100.0,6,6.0,1.0,🏆 RELIABLE
Jared McCain,6,0,100.0,6,5.9,0.9,🏆 RELIABLE
Bryce McGowens,6,0,100.0,6,5.0,0.0,🏆 RELIABLE
Jordan McLaughlin,6,0,100.0,6,5.6,0.6,🏆 RELIABLE
Jalen Pickett,6,0,100.0,6,4.6,-0.4,🏆 RELIABLE
Elijah Harkless,6,0,100.0,6,4.0,-1.0,🏆 RELIABLE
Anthony Gill,6,0,100.0,6,3.0,-2.0,🏆 RELIABLE
Devin Carter,6,0,100.0,6,4.7,-0.3,🏆 RELIABLE
Joan Beringer,6,0,100.0,6,3.3,-1.7,🏆 RELIABLE
Zeke Nnaji,6,0,100.0,6,3.1,-1.9,🏆 RELIABLE
Jae'Sean Tate,6,0,100.0,6,1.9,-3.1,🏆 RELIABLE
Bismack Biyombo,6,0,100.0,6,1.6,-3.4,🏆 RELIABLE
Hunter Tyson,6,0,100.0,6,2.4,-2.6,🏆 RELIABLE
Malaki Branham,5,0,100.0,5,6.7,1.7,🏆 RELIABLE
Gabe Vincent,5,0,100.0,5,6.4,1.4,🏆 RELIABLE
Bobi Klintman,5,0,100.0,5,6.2,1.2,🏆 RELIABLE
GG Jackson II,5,0,100.0,5,4.6,-0.4,🏆 RELIABLE
Lindy Waters III,5,0,100.0,5,4.2,-0.8,🏆 RELIABLE
Khaman Maluach,5,0,100.0,5,2.9,-2.1,🏆 RELIABLE
AJ Johnson,5,0,100.0,5,2.0,-3.0,🏆 RELIABLE
Jonathan Mogbo,5,0,100.0,5,2.8,-2.2,🏆 RELIABLE
Mohamed Diawara,5,0,100.0,5,1.8,-3.2,🏆 RELIABLE
Zach Edey,4,0,100.0,4,22.9,17.9,🏆 RELIABLE
Matisse Thybulle,4,0,100.0,4,6.8,1.8,🏆 RELIABLE
Ryan Nembhard,4,0,100.0,4,5.2,0.2,🏆 RELIABLE
Mark Sears,4,0,100.0,4,3.8,-1.2,🏆 RELIABLE
Jahmir Young,4,0,100.0,4,3.6,-1.4,🏆 RELIABLE
Jeff Green,4,0,100.0,4,2.8,-2.2,🏆 RELIABLE
E.J. Liddell,4,0,100.0,4,3.8,-1.2,🏆 RELIABLE
PJ Hall,4,0,100.0,4,3.5,-1.5,🏆 RELIABLE
Luke Travers,4,0,100.0,4,4.5,-0.5,🏆 RELIABLE
Maxi Kleber,4,0,100.0,4,4.6,-0.4,🏆 RELIABLE
Cody Martin,4,0,100.0,4,5.8,0.8,🏆 RELIABLE
Johnny Juzang,4,0,100.0,4,1.8,-3.2,🏆 RELIABLE
Drew Peterson,4,0,100.0,4,3.6,-1.4,🏆 RELIABLE
Andre Jackson Jr.,4,0,100.0,4,3.4,-1.6,🏆 RELIABLE
Joe Ingles,4,0,100.0,4,1.0,-4.0,🏆 RELIABLE
Coby White,3,0,100.0,3,33.7,28.7,🏆 RELIABLE
Paul George,3,0,100.0,3,21.7,16.7,🏆 RELIABLE
Riley Minix,3,0,100.0,3,4.0,-1.0,🏆 RELIABLE
Caleb Houstan,3,0,100.0,3,3.3,-1.7,🏆 RELIABLE
JD Davison,3,0,100.0,3,2.6,-2.4,🏆 RELIABLE
Wendell Moore Jr.,3,0,100.0,3,4.3,-0.7,🏆 RELIABLE
Dylan Cardwell,3,0,100.0,3,3.4,-1.6,🏆 RELIABLE
Jacob Toppin,3,0,100.0,3,2.1,-2.9,🏆 RELIABLE
Isaac Jones,3,0,100.0,3,2.0,-3.0,🏆 RELIABLE
Thanasis Antetokounmpo,3,0,100.0,3,1.0,-4.0,🏆 RELIABLE
N'Faly Dante,3,0,100.0,3,2.6,-2.4,🏆 RELIABLE
Jahmyl Telfort,3,0,100.0,3,0.9,-4.1,🏆 RELIABLE
Goga Bitadze,16,1,94.1,17,12.8,7.8,🏆 RELIABLE
Nick Richards,16,1,94.1,17,7.8,2.8,🏆 RELIABLE
Nicolas Batum,15,1,93.8,16,8.1,3.1,🏆 RELIABLE
Jaren Jackson Jr.,14,1,93.3,15,24.7,19.7,🏆 RELIABLE
Keaton Wallace,14,1,93.3,15,9.6,4.6,🏆 RELIABLE
Jordan Hawkins,14,1,93.3,15,7.5,2.5,🏆 RELIABLE
Jabari Walker,14,1,93.3,15,6.7,1.7,🏆 RELIABLE
Amen Thompson,13,1,92.9,14,28.6,23.6,🏆 RELIABLE
Jaylen Clark,13,1,92.9,14,8.1,3.1,🏆 RELIABLE
John Konchar,13,1,92.9,14,6.6,1.6,🏆 RELIABLE
Jalen Wilson,12,1,92.3,13,6.8,1.8,🏆 RELIABLE
Jaxson Hayes,12,1,92.3,13,10.5,5.5,🏆 RELIABLE
Rob Dillingham,12,1,92.3,13,7.9,2.9,🏆 RELIABLE
Ja'Kobe Walter,12,1,92.3,13,6.4,1.4,🏆 RELIABLE
Daniel Gafford,11,1,91.7,12,17.6,12.6,🏆 RELIABLE
Alex Caruso,11,1,91.7,12,10.6,5.6,🏆 RELIABLE
Chris Paul,11,1,91.7,12,8.2,3.2,🏆 RELIABLE
Bam Adebayo,10,1,90.9,11,30.8,25.8,🏆 RELIABLE
Pat Connaughton,10,1,90.9,11,6.8,1.8,🏆 RELIABLE
