game_id,player_name,pts,reb,ast,pra
22500275,Justin Edwards,7,4,3,14
22500275,Paul George,10,2,5,17
22500275,Andre Drummond,14,24,1,39
22500275,Quentin Grimes,15,0,3,18
22500275,Tyrese Maxey,27,3,6,36
22500275,Dominick Barlow,9,3,0,12
22500275,Trendon Watford,19,9,7,35
22500275,Jared McCain,15,1,2,18
22500275,Jabari Walker,0,0,1,1
22500275,Hunter Sallis,1,0,0,1
22500275,Johni Broome,0,1,0,1
22500275,Pelle Larsson,6,7,8,21
22500275,Bam Adebayo,18,13,1,32
22500275,Kel'el Ware,20,16,0,36
22500275,Norman Powell,32,4,1,37
22500275,Davion Mitchell,8,8,12,28
22500275,Jaime Jaquez Jr.,22,2,7,31
22500275,Simone Fontecchio,6,3,2,11
22500275,Keshad Johnson,4,1,0,5
22500275,Dru Smith,9,4,1,14
22500275,Jahmir Young,2,0,0,2
22500281,Dillon Brooks,25,3,2,30
22500281,Royce O'Neale,9,5,1,15
22500281,Mark Williams,14,11,2,27
22500281,Jordan Goodwin,15,10,3,28
22500281,Devin Booker,24,5,7,36
22500281,Isaiah Livers,5,1,1,7
22500281,Collin Gillespie,15,3,6,24
22500281,Oso Ighodaro,2,3,5,10
22500281,Nick Richards,2,2,0,4
22500281,Julian Champagnie,10,12,1,23
22500281,Harrison Barnes,11,3,3,17
22500281,Luke Kornet,8,6,3,17
22500281,Devin Vassell,17,4,2,23
22500281,De'Aaron Fox,26,5,3,34
22500281,Kelly Olynyk,4,4,1,9
22500281,Jeremy Sochan,7,5,1,13
22500281,Keldon Johnson,14,6,2,22
22500281,David Jones Garcia,0,2,1,3
22500281,Carter Bryant,5,3,0,8
22500279,Brandon Ingram,14,6,4,24
22500279,Scottie Barnes,17,7,4,28
22500279,Sandro Mamukelashvili,12,4,2,18
22500279,RJ Barrett,16,2,1,19
22500279,Immanuel Quickley,13,7,4,24
22500279,Ja'Kobe Walter,16,1,0,17
22500279,Collin Murray-Boyles,2,1,1,4
22500279,Jamal Shead,11,1,9,21
22500279,Gradey Dick,12,1,3,16
22500279,Ochai Agbaji,6,2,2,10
22500279,Michael Porter Jr.,25,6,4,35
22500279,Noah Clowney,22,1,1,24
22500279,Nic Claxton,10,11,3,24
22500279,Terance Mann,3,2,5,10
22500279,Egor Dëmin,5,3,4,12
22500279,Ziaire Williams,5,4,0,9
22500279,Tyrese Martin,26,6,3,35
22500279,Drake Powell,6,1,2,9
22500279,Day'Ron Sharpe,5,6,1,12
22500279,Jalen Wilson,2,0,0,2
22500282,Svi Mykhailiuk,12,2,5,19
22500282,Lauri Markkanen,20,7,2,29
22500282,Jusuf Nurkić,11,10,2,23
22500282,Ace Bailey,10,5,3,18
22500282,Keyonte George,27,5,8,40
22500282,Kevin Love,4,9,2,15
22500282,Isaiah Collier,10,1,3,14
22500282,Kyle Filipowski,4,3,2,9
22500282,Taylor Hendricks,3,0,0,3
22500282,Brice Sensabaugh,5,3,0,8
22500282,LeBron James,17,6,8,31
22500282,Rui Hachimura,13,6,0,19
22500282,Deandre Ayton,2,3,0,5
22500282,Austin Reaves,22,10,4,36
22500282,Luka Dončić,33,11,8,52
22500282,Marcus Smart,6,0,0,6
22500282,Jaxson Hayes,5,4,1,10
